ZTFID,IAUID,RA,Dec,peakt,peakfilt,peakmag,type,redshift,double-peaked,A_V,filenames
ZTF19aawethv,SN2019gaf,309.2302,2.8068,58637.42181710014,r,17.49934864159138,SN IIb,0.006,0.0,0.3215102255344391,['ZTF19aawethv_0']
ZTF19aavoweu,SN2019gqd,247.208867513,39.834346194,58644.05629876836,g,19.246592338798862,SN Ic,0.0359,0.0,0.0405626114457845,['ZTF19aavoweu_0']
ZTF19aayejww,SN2019hgp,234.053625,39.733489,58650.65502467763,g,18.73050870923479,SN Icn,0.0641,0.0,0.0670611772686243,"['ZTF19aayejww_0', 'ZTF19aayejww_1', 'ZTF19aayejww_2', 'ZTF19aayejww_3', 'ZTF19aayejww_4', 'ZTF19aayejww_5']"
ZTF19abafmwj,SN2019icf,264.4013279,43.5176207,58663.29581745751,g,19.405619431381517,SN Ic,0.034,0.0,0.1014316406100988,['ZTF19abafmwj_0']
ZTF19abcyqqg,SN2019iga,303.87133954,-9.05298651535,58666.800868736645,g,19.43409313028196,SN Ib,0.04,0.0,0.2925730764865875,['ZTF19abcyqqg_0']
ZTF18aahuujv,SN2019ilo,200.4763413,32.4220293,58673.730375626124,g,18.69191419431924,SN Ic,0.0343,0.0,0.0612981041893363,['ZTF18aahuujv_0']
ZTF19abfiqjg,SN2019lfj,29.4532049,13.1761697,58685.179530442576,g,19.003098264850887,SN Ic,0.0888,0.0,0.1656201303005218,['ZTF19abfiqjg_0']
ZTF19abqmsnk,SN2019ofk,244.625287517,18.475066159,58728.99088044145,g,18.68859802790882,SN IIb,0.03561,0.0,0.1421775829046964,['ZTF19abqmsnk_0']
ZTF19abvdgqo,SN2019pfb,294.9470933,59.3679986,58735.10103390945,g,18.18823758767544,SN Ib,0.03683,0.0,0.2526554778218269,['ZTF19abvdgqo_0']
ZTF19abxtcio,SN2019pof,18.1578040613,33.0349355864,58746.188448749665,g,18.63178642443039,SN IIb,0.0155,0.0,0.1858887270092964,['ZTF19abxtcio_0']
ZTF19aceshib,SN2019sna,349.7354625,-10.1763972222,58786.1511251831,g,18.16927913660705,SN IIb,0.031,0.0,0.0917132925242185,['ZTF19aceshib_0']
ZTF19ackjjwf,SN2019tls,120.708005322,15.8015086645,58801.74981791373,r,17.395332152735158,SN Ib,0.016198,0.0,0.0969040904194116,['ZTF19ackjjwf_0']
ZTF19ackjszs,SN2019tsf,167.136666667,-10.4817888889,58876.38043980021,g,18.280165744986167,SN Ib,0.03,1.0,0.2007592320442199,"['ZTF19ackjszs_0', 'ZTF19ackjszs_1', 'ZTF19ackjszs_2']"
ZTF19acmelor,SN2019uff,4.805333,-14.397839,58801.891953098,g,18.340644109030254,SN Ib,0.026612,0.0,0.1025241654366254,['ZTF19acmelor_0']
ZTF20aaerxne,SN2019yxp,214.133875,57.808,58860.92142550296,g,17.15156097651663,SN Ib,0.01042,0.0,0.0389728644862771,['ZTF20aaerxne_0']
ZTF20actpqgc,SN2020abdw,30.3212626,24.0708174,59195.03152390171,g,19.013357597923967,SN Ic,0.0327790007,0.0,0.2979943111538887,['ZTF20actpqgc_0']
ZTF20adadlqm,SN2020adnx,46.481375,41.608711,59228.405016699195,g,17.710077852413896,SN IIb,,1.0,0.3907962828874588,['ZTF20adadlqm_0']
ZTF20aaiftgi,SN2020aut,212.5556545,-6.8224189,58884.039403038674,g,18.22853557357421,SN Ic,0.033,0.0,0.1128791883587837,['ZTF20aaiftgi_0']
ZTF20aahggbm,SN2020axo,172.00015713333,16.607431933333,58882.611579840246,g,18.6499999012214,SN Ic,0.1,0.0,0.1005392841994762,"['ZTF20aahggbm_0', 'ZTF20aahggbm_1', 'ZTF20aahggbm_2']"
