ra,dec,jd_start,jd_end,obj_name,type
226.27857087,21.27112502,2459393.7609722,2459808.7609722,SN 2021vis,SN Ic
160.9580344,69.6857529,2459476.9253588,2459891.9253588,SN 2021adgu,SN Ic
196.5607605,25.4614479,2459662.8726505,2460077.8726505,SN 2022ibn,SN Ic
328.59749574444,15.154319744444,2459698.7941088,2460113.7941088,SN 2022lfa,SN Ic
4.580375,19.395611,2459715.8450231,2460130.8450231,SN 2022nmq,SN Ic
227.28425,52.534794,2459721.8124306,2460136.8124306,SN 2022oqm,SN Ic
55.666347622222,-6.3783917222222,2459816.8660995,2460231.8660995,SN 2022wwd,SN Ic
175.8743003,3.3905664,2459864.9398495,2460279.9398495,SN 2022abto,SN Ic
264.4905146,60.8824856,2459929.9689468,2460344.9689468,SN 2023apg,SN Ic
231.114625,30.148531,2459935.9376389,2460350.9376389,SN 2023apl,SN Ic
135.1639272,50.6786609,2459943.8525347,2460358.8525347,SN 2023bpv,SN Ic
197.1361026,30.7483095,2459881.0049537,2460296.0049537,SN 2022abuj,SN Ic
256.570010532,38.3928536272,2460038.8189236,2460453.8189236,SN 2023hxp,SN Ic
5.1741061,25.2295499,2460043.9382292,2460458.9382292,SN 2023ijh,SN Ic
144.315704261,23.5866698407,2460189.9929398,2460604.9929398,SN 2023uvg,SN Ic
15.618708,32.349331,2459890.7821528,2460305.7821528,SN 2023er,SN Ic
15.316125,44.042289,2459906.5962963,2460321.5962963,SN 2022aehk,SN Ic
359.816375,46.89135,2459921.6629051,2460336.6629051,SN 2023aov,SN Ic
108.451120711,50.2575809094,2460589.7558333,2461004.7558333,SN 2024abtu,SN Ic
176.319088209,48.6284037565,2460606.9845718,2461021.9845718,SN 2024abmk,SN Ic
170.4473235,46.1284498,2460627.8957292,2461042.8957292,SN 2024afbf,SN Ic
44.5059377,41.7139992,2460626.7238773,2461041.7238773,SN 2024afao,SN Ic
151.80569539,2.9031169885,2460672.6983912,2461087.6983912,SN 2025aot,SN Ic
